secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,ss_flag,root,suffix
139383,02JAN2013,TBF 130119C20000,1,19JAN2013,,C,20000,9.6,9.9,0,0,NA,NA,NA,NA,NA,83602442,1,0,NA,NA
139383,02JAN2013,TBF 130119C21000,1,19JAN2013,,C,21000,8.6,8.9,0,0,NA,NA,NA,NA,NA,83602443,1,0,NA,NA
139383,02JAN2013,TBF 130119C22000,1,19JAN2013,,C,22000,7.6,7.9,0,0,NA,NA,NA,NA,NA,83602444,1,0,NA,NA
139383,02JAN2013,TBF 130119C23000,1,19JAN2013,,C,23000,6.6,6.9,0,0,NA,NA,NA,NA,NA,83602445,1,0,NA,NA
139383,02JAN2013,TBF 130119C24000,1,19JAN2013,,C,24000,5.6,5.9,0,0,NA,NA,NA,NA,NA,83602446,1,0,NA,NA
139383,02JAN2013,TBF 130119C25000,1,19JAN2013,,C,25000,4.6,4.9,0,0,NA,NA,NA,NA,NA,83602447,1,0,NA,NA
139383,02JAN2013,TBF 130119C26000,1,19JAN2013,,C,26000,3.6,3.9,0,0,NA,NA,NA,NA,NA,83602448,1,0,NA,NA
139383,02JAN2013,TBF 130119C27000,1,19JAN2013,19DEC2012,C,27000,2.6,2.85,0,4,NA,NA,NA,NA,NA,83602449,1,0,NA,NA
139383,02JAN2013,TBF 130119C28000,1,19JAN2013,07DEC2012,C,28000,1.6,1.85,0,4,NA,NA,NA,NA,NA,83602450,1,0,NA,NA
139383,02JAN2013,TBF 130119C29000,1,19JAN2013,02JAN2013,C,29000,0.7,0.9,15,28,0.111589,0.866113,0.310643,1.34454,-1.763187,83602451,1,0,NA,NA
139383,02JAN2013,TBF 130119C30000,1,19JAN2013,02JAN2013,C,30000,0.1,0.25,20,0,0.112829,0.367535,0.535902,2.345788,-3.041459,83602452,1,0,NA,NA
139383,02JAN2013,TBF 130119C31000,1,19JAN2013,,C,31000,0,0.15,0,0,0.176299,0.136994,0.199744,1.365075,-2.755604,83602453,1,0,NA,NA
139383,02JAN2013,TBF 130119C32000,1,19JAN2013,,C,32000,0,0.1,0,0,0.23894,0.076281,0.096386,0.893997,-2.439784,83602454,1,0,NA,NA
139383,02JAN2013,TBF 130119C33000,1,19JAN2013,,C,33000,0,0.1,0,0,0.313118,0.060889,0.061817,0.749414,-2.685691,83602455,1,0,NA,NA
139383,02JAN2013,TBF 130119C34000,1,19JAN2013,,C,34000,0,0.1,0,0,0.381722,0.05157,0.044481,0.659222,-2.871319,83602456,1,0,NA,NA
139383,02JAN2013,TBF 130119C35000,1,19JAN2013,,C,35000,0,0.1,0,0,0.446051,0.045246,0.034288,0.593138,-3.021588,83602457,1,0,NA,NA
139383,02JAN2013,TBF 130119C36000,1,19JAN2013,,C,36000,0,0.1,0,0,0.506841,0.040636,0.027667,0.543872,-3.147601,83602458,1,0,NA,NA
139383,02JAN2013,TBF 130119P20000,1,19JAN2013,,P,20000,0,0.1,0,0,NA,NA,NA,NA,NA,83602459,1,0,NA,NA
139383,02JAN2013,TBF 130119P21000,1,19JAN2013,,P,21000,0,0.1,0,0,NA,NA,NA,NA,NA,83602460,1,0,NA,NA
139383,02JAN2013,TBF 130119P22000,1,19JAN2013,,P,22000,0,0.1,0,0,NA,NA,NA,NA,NA,83602461,1,0,NA,NA
139383,02JAN2013,TBF 130119P23000,1,19JAN2013,,P,23000,0,0.1,0,0,NA,NA,NA,NA,NA,83602462,1,0,NA,NA
139383,02JAN2013,TBF 130119P24000,1,19JAN2013,,P,24000,0,0.1,0,0,NA,NA,NA,NA,NA,83602463,1,0,NA,NA
139383,02JAN2013,TBF 130119P25000,1,19JAN2013,,P,25000,0,0.1,0,0,0.487102,-0.039397,0.028071,0.530714,-2.944906,83602464,1,0,NA,NA
139383,02JAN2013,TBF 130119P26000,1,19JAN2013,,P,26000,0,0.1,0,0,0.395433,-0.047474,0.040195,0.616301,-2.778361,83602465,1,0,NA,NA
139383,02JAN2013,TBF 130119P27000,1,19JAN2013,,P,27000,0,0.1,0,0,0.304187,-0.05983,0.062766,0.739846,-2.566349,83602466,1,0,NA,NA
139383,02JAN2013,TBF 130119P28000,1,19JAN2013,,P,28000,0,0.1,0,0,0.211586,-0.081881,0.114841,0.941955,-2.270058,83602467,1,0,NA,NA
139383,02JAN2013,TBF 130119P29000,1,19JAN2013,21DEC2012,P,29000,0,0.2,0,2,0.145498,-0.19604,0.305218,1.723339,-2.847172,83602468,1,0,NA,NA
139383,02JAN2013,TBF 130119P30000,1,19JAN2013,,P,30000,0.4,0.6,0,0,0.145426,-0.601488,0.4264,2.403766,-3.952844,83602469,1,0,NA,NA
139383,02JAN2013,TBF 130119P31000,1,19JAN2013,,P,31000,1.2,1.45,0,0,0.177983,-0.861111,0.200527,1.377631,-2.755927,83602470,1,0,NA,NA
139383,02JAN2013,TBF 130119P32000,1,19JAN2013,,P,32000,2.2,2.4,0,0,0.241382,-0.921989,0.097683,0.908744,-2.457477,83602471,1,0,NA,NA
